CoC_Number,CoC_Name,CoC_Category,Overall_Homeless,Sheltered_ES_Homeless,Sheltered_TH_Homeless,Sheltered_SH_Homeless,Sheltered_Total_Homeless,Unsheltered_Homeless,Homeless_Individuals,Sheltered_ES_Homeless_Individuals,Sheltered_TH_Homeless_Individuals,Sheltered_SH_Homeless_Individuals,Sheltered_Total_Homeless_Individuals,Unsheltered_Homeless_Individuals,Homeless_People_in_Families,Sheltered_ES_Homeless_People_in_Families,Sheltered_TH_Homeless_People_in_Families,Sheltered_Total_Homeless_People_in_Families,Unsheltered_Homeless_People_in_Families,Homeless_Family_Households,Sheltered_ES_Homeless_Family_Households,Sheltered_TH_Homeless_Family_Households,Sheltered_Total_Homeless_Family_Households,Unsheltered_Homeless_Family_Households,Chronically_Homeless,Sheltered_ES_Chronically_Homeless,Sheltered_SH_Chronically_Homeless,Sheltered_Total_Chronically_Homeless,Unsheltered_Chronically_Homeless,Chronically_Homeless_Individuals,Sheltered_ES_Chronically_Homeless_Individuals,Sheltered_SH_Chronically_Homeless_Individuals,Sheltered_Total_Chronically_Homeless_Individuals,Unsheltered_Chronically_Homeless_Individuals,Chronically_Homeless_People_in_Families,Sheltered_ES_Chronically_Homeless_People_in_Families,Sheltered_Total_Chronically_Homeless_People_in_Families,Unsheltered_Chronically_Homeless_People_in_Families,Homeless_Veterans,Sheltered_ES_Homeless_Veterans,Sheltered_TH_Homeless_Veterans,Sheltered_SH_Homeless_Veterans,Sheltered_Total_Homeless_Veterans,Unsheltered_Homeless_Veterans,Homeless_Unaccompanied_Youth_Under_25,Sheltered_ES_Homeless_Unaccompanied_Youth_Under_25,Sheltered_TH_Homeless_Unaccompanied_Youth_Under_25,Sheltered_SH_Homeless_Unaccompanied_Youth_Under_25,Sheltered_Total_Homeless_Unaccompanied_Youth_Under_25,Unsheltered_Homeless_Unaccompanied_Youth_Under_25,Homeless_Unaccompanied_Youth_Under_18,Sheltered_ES_Homeless_Unaccompanied_Youth_Under_18,Sheltered_TH_Homeless_Unaccompanied_Youth_Under_18,Sheltered_SH_Homeless_Unaccompanied_Youth_Under_18,Sheltered_Total_Homeless_Unaccompanied_Youth_Under_18,Unsheltered_Homeless_Unaccompanied_Youth_Under_18,Homeless_Unaccompanied_Youth_Age_18_24,Sheltered_ES_Homeless_Unaccompanied_Youth_Age_18_24,Sheltered_TH_Homeless_Unaccompanied_Youth_Age_18_24,Sheltered_SH_Homeless_Unaccompanied_Youth_Age_18_24,Sheltered_Total_Homeless_Unaccompanied_Youth_Age_18_24,Unsheltered_Homeless_Unaccompanied_Youth_Age_18_24,Homeless_Parenting_Youth_Under_25,Sheltered_ES_Homeless_Parenting_Youth_Under_25,Sheltered_TH_Homeless_Parenting_Youth_Under_25,Sheltered_Total_Homeless_Parenting_Youth_Under_25,Unsheltered_Homeless_Parenting_Youth_Under_25,Homeless_Parenting_Youth_Under_18,Sheltered_ES_Homeless_Parenting_Youth_Under_18,Sheltered_TH_Homeless_Parenting_Youth_Under_18,Sheltered_Total_Homeless_Parenting_Youth_Under_18,Unsheltered_Homeless_Parenting_Youth_Under_18,Homeless_Parenting_Youth_Age_18_24,Sheltered_ES_Homeless_Parenting_Youth_Age_18_24,Sheltered_TH_Homeless_Parenting_Youth_Age_18_24,Sheltered_Total_Homeless_Parenting_Youth_Age_18_24,Unsheltered_Homeless_Parenting_Youth_Age_18_24,Homeless_Children_of_Parenting_Youth,Sheltered_ES_Homeless_Children_of_Parenting_Youth,Sheltered_TH_Homeless_Children_of_Parenting_Youth,Sheltered_Total_Homeless_Children_of_Parenting_Youth,Unsheltered_Homeless_Children_of_Parenting_Youth,Count_Year
AZ-500,Arizona Balance of State CoC,Rural CoCs,2187,850,252,0,1102,1085,1638,531,133,0,664,974,549,319,119,438,111,169,101,37,138,31,537,59,0,59,478,530,59,0,59,471,7,0,0,7,277,48,59,0,107,170,120,53,4,0,57,63,10,10,0,0,10,0,110,43,4,0,47,63,11,0,2,2,9,1,0,1,1,0,10,0,1,1,9,13,0,5,5,8,2018
AZ-500,Arizona Balance of State CoC,,1768,856,190,0,1046,722,1434,678,104,0,782,652,334,178,86,264,70,98,55,26,81,17,388,68,0,68,320,358,59,0,59,299,30,9,9,21,238,54,59,0,113,125,125,73,5,0,78,47,12,11,0,0,11,1,113,62,5,0,67,46,9,9,0,9,0,0,0,0,0,0,9,9,0,9,0,8,8,0,8,0,2017
AZ-501,Tucson/Pima County CoC,Major Cities,1380,666,337,14,1017,363,1079,532,174,14,720,359,301,134,163,297,4,104,50,52,102,2,263,164,8,172,91,251,152,8,160,91,12,12,12,0,203,89,67,2,158,45,103,36,31,0,67,36,0,0,0,0,0,0,103,36,31,0,67,36,29,6,23,29,0,0,0,0,0,0,29,6,23,29,0,31,8,23,31,0,2018
AZ-501,Tucson/Pima County CoC,,1574,731,443,15,1189,385,1249,578,271,15,864,385,325,153,172,325,0,96,43,53,96,0,225,159,10,169,56,223,157,10,167,56,2,2,2,0,243,89,97,1,187,56,133,50,37,1,88,45,4,3,0,0,3,1,129,47,37,1,85,44,27,5,22,27,0,0,0,0,0,0,27,5,22,27,0,35,10,25,35,0,2017
AZ-502,"Phoenix, Mesa/Maricopa County CoC",Major Cities,6298,2099,1555,26,3680,2618,4542,1264,680,26,1970,2572,1756,835,875,1710,46,519,239,266,505,14,974,353,5,358,616,959,340,5,345,614,15,13,13,2,413,80,169,26,275,138,415,127,146,0,273,142,38,19,19,0,38,0,377,108,127,0,235,142,24,13,11,24,0,0,0,0,0,0,24,13,11,24,0,37,20,17,37,0,2018
AZ-502,"Phoenix, Mesa/Maricopa County CoC",,5605,2254,1271,21,3546,2059,3805,1285,471,21,1777,2028,1800,969,800,1769,31,495,259,228,487,8,939,302,7,309,630,882,259,7,266,616,57,43,43,14,489,125,216,0,341,148,320,128,51,0,179,141,39,31,0,0,31,8,281,97,51,0,148,133,45,23,22,45,0,0,0,0,0,0,45,23,22,45,0,69,37,32,69,0,2017
CA-500,San Jose/Santa Clara City & County CoC,Major Cities,7254,1151,635,20,1806,5448,6267,754,341,20,1115,5152,987,397,294,691,296,272,115,86,201,71,2139,338,6,344,1795,2056,292,6,298,1758,83,46,46,37,658,70,116,20,206,452,2517,31,50,0,81,2436,506,6,0,0,6,500,2011,25,50,0,75,1936,33,8,17,25,8,0,0,0,0,0,33,8,17,25,8,42,11,22,33,9,2018
CA-500,San Jose/Santa Clara City & County CoC,,7394,1140,806,0,1946,5448,6319,794,373,0,1167,5152,1075,346,433,779,296,294,97,126,223,71,2097,302,0,302,1795,2018,260,0,260,1758,79,42,42,37,660,72,136,0,208,452,2530,39,55,0,94,2436,509,9,0,0,9,500,2021,30,55,0,85,1936,34,6,20,26,8,0,0,0,0,0,34,6,20,26,8,37,6,22,28,9,2017
CA-501,San Francisco CoC,Major Cities,6857,2011,474,19,2504,4353,6211,1591,268,19,1878,4333,646,420,206,626,20,247,155,86,241,6,1757,174,5,179,1578,1732,152,5,157,1575,25,22,22,3,656,147,134,19,300,356,1292,42,126,0,168,1124,103,9,0,0,9,94,1189,33,126,0,159,1030,157,90,60,150,7,0,0,0,0,0,157,90,60,150,7,189,124,60,184,5,2018
CA-501,San Francisco CoC,,6858,2056,434,15,2505,4353,6257,1696,213,15,1924,4333,601,360,221,581,20,190,115,69,184,6,2138,555,5,560,1578,2112,532,5,537,1575,26,23,23,3,684,162,151,15,328,356,1274,71,79,0,150,1124,104,10,0,0,10,94,1170,61,79,0,140,1030,41,19,15,34,7,0,0,0,0,0,41,19,15,34,7,40,20,15,35,5,2017
CA-502,"Oakland, Berkeley/Alameda County CoC",Major Cities,5496,962,660,11,1633,3863,4801,570,383,11,964,3837,695,392,277,669,26,256,150,97,247,9,1742,328,5,333,1409,1625,214,5,219,1406,117,114,114,3,526,44,94,10,148,378,935,66,131,0,197,738,74,11,1,0,12,62,861,55,130,0,185,676,53,9,39,48,5,0,0,0,0,0,53,9,39,48,5,66,9,50,59,7,2018
CA-502,"Oakland, Berkeley/Alameda County CoC",,5629,1022,744,0,1766,3863,4918,636,445,0,1081,3837,711,386,299,685,26,270,151,110,261,9,1707,298,0,298,1409,1620,214,0,214,1406,87,84,84,3,531,48,105,0,153,378,991,81,172,0,253,738,72,9,1,0,10,62,919,72,171,0,243,676,74,9,60,69,5,0,0,0,0,0,74,9,60,69,5,95,14,74,88,7,2017
CA-503,Sacramento City & County CoC,Major Cities,3621,1124,445,0,1569,2052,3104,787,282,0,1069,2035,517,337,163,500,17,161,97,58,155,6,1192,389,0,389,803,1158,355,0,355,803,34,34,34,0,492,90,75,0,165,327,239,50,71,0,121,118,2,2,0,0,2,0,237,48,71,0,119,118,28,5,23,28,0,0,0,0,0,0,28,5,23,28,0,39,7,32,39,0,2018
CA-503,Sacramento City & County CoC,,3665,977,636,0,1613,2052,3076,647,394,0,1041,2035,589,330,242,572,17,186,100,80,180,6,1126,323,0,323,803,1091,288,0,288,803,35,35,35,0,469,64,78,0,142,327,205,31,56,0,87,118,3,3,0,0,3,0,202,28,56,0,84,118,29,8,21,29,0,0,0,0,0,0,29,8,21,29,0,40,12,28,40,0,2017
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",Suburban CoCs,2996,801,266,0,1067,1929,2657,595,165,0,760,1897,339,206,101,307,32,104,61,30,91,13,747,115,0,115,632,715,88,0,88,627,32,27,27,5,207,43,20,0,63,144,505,40,22,0,62,443,34,7,3,0,10,24,471,33,19,0,52,419,10,3,5,8,2,0,0,0,0,0,10,3,5,8,2,14,6,6,12,2,2018
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",,2835,655,333,0,988,1847,2509,477,192,0,669,1840,326,178,141,319,7,111,54,55,109,2,598,134,0,134,464,577,113,0,113,464,21,21,21,0,211,35,31,0,66,145,532,27,22,0,49,483,116,0,0,0,0,116,416,27,22,0,49,367,6,2,1,3,3,0,0,0,0,0,6,2,1,3,3,6,2,1,3,3,2017
CA-505,Richmond/Contra Costa County CoC,Suburban CoCs,2234,552,145,0,697,1537,1955,419,104,0,523,1432,279,133,41,174,105,89,40,15,55,34,555,186,0,186,369,492,162,0,162,330,63,24,24,39,102,45,11,0,56,46,133,22,16,0,38,95,0,0,0,0,0,0,133,22,16,0,38,95,8,6,0,6,2,0,0,0,0,0,8,6,0,6,2,12,9,0,9,3,2018
CA-505,Richmond/Contra Costa County CoC,,1607,502,194,0,696,911,1352,366,146,0,512,840,255,136,48,184,71,84,43,19,62,22,331,130,0,130,201,311,117,0,117,194,20,13,13,7,99,35,15,0,50,49,61,16,14,0,30,31,0,0,0,0,0,0,61,16,14,0,30,31,12,5,2,7,5,0,0,0,0,0,12,5,2,7,5,15,8,3,11,4,2017
CA-506,"Salinas/Monterey, San Benito Counties CoC",Rural CoCs,3299,333,452,0,785,2514,2683,189,196,0,385,2298,616,144,256,400,216,173,40,78,118,55,942,83,0,83,859,935,76,0,76,859,7,7,7,0,167,39,72,0,111,56,623,11,23,0,34,589,152,0,0,0,0,152,471,11,23,0,34,437,11,4,5,9,2,0,0,0,0,0,11,4,5,9,2,13,5,7,12,1,2018
CA-506,"Salinas/Monterey, San Benito Counties CoC",,3364,420,430,0,850,2514,2719,264,157,0,421,2298,645,156,273,429,216,184,43,86,129,55,902,43,0,43,859,900,41,0,41,859,2,2,2,0,123,9,58,0,67,56,627,17,21,0,38,589,152,0,0,0,0,152,475,17,21,0,38,437,9,6,1,7,2,0,0,0,0,0,9,6,1,7,2,9,5,3,8,1,2017
CA-507,Marin County CoC,Suburban CoCs,1095,237,150,0,387,708,920,196,46,0,242,678,175,41,104,145,30,58,16,34,50,8,399,107,0,107,292,388,101,0,101,287,11,6,6,5,89,8,14,0,22,67,133,11,7,0,18,115,18,0,0,0,0,18,115,11,7,0,18,97,3,1,1,2,1,0,0,0,0,0,3,1,1,2,1,4,2,1,3,1,2018
CA-507,Marin County CoC,,1117,226,183,0,409,708,917,182,57,0,239,678,200,44,126,170,30,75,16,51,67,8,359,67,0,67,292,329,42,0,42,287,30,25,25,5,94,11,16,0,27,67,127,11,1,0,12,115,18,0,0,0,0,18,109,11,1,0,12,97,4,3,0,3,1,0,0,0,0,0,4,3,0,3,1,4,3,0,3,1,2017
CA-508,Watsonville/Santa Cruz City & County CoC,Suburban CoCs,2320,320,201,0,521,1799,1911,204,77,0,281,1630,409,116,124,240,169,134,38,42,80,54,634,111,0,111,523,563,96,0,96,467,71,15,15,56,245,27,1,0,28,217,614,14,27,0,41,573,169,10,0,0,10,159,445,4,27,0,31,414,20,6,4,10,10,2,2,0,2,0,18,4,4,8,10,27,10,4,14,13,2018
CA-508,Watsonville/Santa Cruz City & County CoC,,2249,271,179,0,450,1799,1846,151,65,0,216,1630,403,120,114,234,169,129,41,34,75,54,600,77,0,77,523,525,58,0,58,467,75,19,19,56,236,17,2,0,19,217,586,10,3,0,13,573,163,4,0,0,4,159,423,6,3,0,9,414,13,0,3,3,10,0,0,0,0,0,13,0,3,3,10,17,0,4,4,13,2017
CA-509,Mendocino County CoC,Rural CoCs,880,94,63,0,157,723,829,79,27,0,106,723,51,15,36,51,0,14,3,11,14,0,96,43,0,43,53,92,39,0,39,53,4,4,4,0,12,5,1,0,6,6,15,1,1,0,2,13,0,0,0,0,0,0,15,1,1,0,2,13,3,1,2,3,0,0,0,0,0,0,3,1,2,3,0,3,1,2,3,0,2018
CA-509,Mendocino County CoC,,1238,113,47,0,160,1078,1179,79,33,0,112,1067,59,34,14,48,11,22,13,5,18,4,97,38,0,38,59,94,38,0,38,56,3,0,0,3,24,10,1,0,11,13,42,2,17,0,19,23,0,0,0,0,0,0,42,2,17,0,19,23,5,1,3,4,1,0,0,0,0,0,5,1,3,4,1,5,1,3,4,1,2017
CA-510,"Turlock, Modesto/Stanislaus County CoC",,1661,683,157,0,840,821,1256,402,106,0,508,748,405,281,51,332,73,118,82,16,98,20,178,60,0,60,118,151,44,0,44,107,27,16,16,11,100,25,17,0,42,58,103,19,17,0,36,67,2,0,1,0,1,1,101,19,16,0,35,66,26,20,1,21,5,10,10,0,10,0,16,10,1,11,5,21,14,2,16,5,2017
CA-510,"Turlock, Modesto/Stanislaus County CoC",Suburban CoCs,1356,578,172,0,750,606,1080,390,117,0,507,573,276,188,55,243,33,85,59,16,75,10,241,108,0,108,133,214,85,0,85,129,27,23,23,4,87,30,15,0,45,42,79,19,14,0,33,46,3,3,0,0,3,0,76,16,14,0,30,46,18,15,1,16,2,1,0,0,0,1,17,15,1,16,1,18,16,1,17,1,2018
CA-511,Stockton/San Joaquin County CoC,Other Urban CoCs,1685,927,191,0,1118,567,1054,395,110,0,505,549,631,532,81,613,18,187,155,27,182,5,262,138,0,138,124,224,100,0,100,124,38,38,38,0,96,31,33,0,64,32,58,19,10,0,29,29,3,3,0,0,3,0,55,16,10,0,26,29,19,14,3,17,2,0,0,0,0,0,19,14,3,17,2,25,19,3,22,3,2018
CA-511,Stockton/San Joaquin County CoC,,1542,794,181,0,975,567,1016,369,98,0,467,549,526,425,83,508,18,165,128,32,160,5,254,130,0,130,124,243,119,0,119,124,11,11,11,0,109,44,33,0,77,32,67,24,14,0,38,29,5,5,0,0,5,0,62,19,14,0,33,29,9,5,2,7,2,0,0,0,0,0,9,5,2,7,2,14,8,3,11,3,2017
CA-512,Daly/San Mateo County CoC,Suburban CoCs,1238,258,343,0,601,637,811,170,79,0,249,562,427,88,264,352,75,121,26,76,102,19,238,35,0,35,203,238,35,0,35,203,0,0,0,0,100,28,15,0,43,57,30,10,9,0,19,11,5,1,0,0,1,4,25,9,9,0,18,7,8,3,5,8,0,0,0,0,0,0,8,3,5,8,0,11,3,8,11,0,2018
CA-512,Daly/San Mateo County CoC,,1253,211,405,0,616,637,822,127,133,0,260,562,431,84,272,356,75,116,22,75,97,19,234,31,0,31,203,234,31,0,31,203,0,0,0,0,105,34,14,0,48,57,30,5,14,0,19,11,5,1,0,0,1,4,25,4,14,0,18,7,10,2,8,10,0,0,0,0,0,0,10,2,8,10,0,10,1,9,10,0,2017
CA-513,"Visalia/Kings, Tulare Counties CoC",Other Urban CoCs,967,158,157,0,315,652,823,79,106,0,185,638,144,79,51,130,14,45,26,14,40,5,288,14,0,14,274,286,12,0,12,274,2,2,2,0,46,4,2,0,6,40,72,5,18,0,23,49,3,0,0,0,0,3,69,5,18,0,23,46,4,1,1,2,2,0,0,0,0,0,4,1,1,2,2,3,1,1,2,1,2018
CA-513,"Visalia/Kings, Tulare Counties CoC",,853,206,148,0,354,499,732,127,122,0,249,483,121,79,26,105,16,37,25,7,32,5,251,20,0,20,231,248,17,0,17,231,3,3,3,0,45,11,4,0,15,30,56,8,22,0,30,26,0,0,0,0,0,0,56,8,22,0,30,26,4,4,0,4,0,0,0,0,0,0,4,4,0,4,0,7,7,0,7,0,2017
CA-514,Fresno City & County/Madera County CoC,Major Cities,2144,331,108,24,463,1681,1886,157,33,24,214,1672,258,174,75,249,9,84,58,23,81,3,524,37,5,42,482,524,37,5,42,482,0,0,0,0,211,53,33,0,86,125,97,26,4,0,30,67,12,9,0,0,9,3,85,17,4,0,21,64,12,11,1,12,0,0,0,0,0,0,12,11,1,12,0,14,13,1,14,0,2018
CA-514,Fresno City & County/Madera County CoC,,2016,333,130,24,487,1529,1742,131,58,24,213,1529,274,202,72,274,0,82,58,24,82,0,692,42,7,49,643,688,38,7,45,643,4,4,4,0,211,55,33,0,88,123,101,8,23,2,33,68,5,3,0,0,3,2,96,5,23,2,30,66,24,11,13,24,0,0,0,0,0,0,24,11,13,24,0,30,14,16,30,0,2017
CA-515,"Roseville, Rocklin/Placer, Nevada Counties CoC",Suburban CoCs,950,367,125,0,492,458,766,287,44,0,331,435,184,80,81,161,23,58,24,26,50,8,327,162,0,162,165,303,138,0,138,165,24,24,24,0,55,30,1,0,31,24,56,9,6,0,15,41,0,0,0,0,0,0,56,9,6,0,15,41,8,1,6,7,1,0,0,0,0,0,8,1,6,7,1,11,1,9,10,1,2018
CA-515,"Roseville, Rocklin/Placer, Nevada Counties CoC",,979,400,121,0,521,458,772,292,45,0,337,435,207,108,76,184,23,64,31,25,56,8,232,67,0,67,165,225,60,0,60,165,7,7,7,0,44,20,0,0,20,24,66,19,6,0,25,41,0,0,0,0,0,0,66,19,6,0,25,41,3,1,1,2,1,0,0,0,0,0,3,1,1,2,1,5,3,1,4,1,2017
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Rural CoCs,1149,248,211,0,459,690,955,197,142,0,339,616,194,51,69,120,74,56,13,21,34,22,431,107,0,107,324,403,98,0,98,305,28,9,9,19,124,18,38,0,56,68,51,18,9,0,27,24,5,0,4,0,4,1,46,18,5,0,23,23,4,0,2,2,2,1,0,0,0,1,3,0,2,2,1,5,0,3,3,2,2018
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",,934,264,266,0,530,404,721,195,160,0,355,366,213,69,106,175,38,68,18,37,55,13,341,99,0,99,242,317,91,0,91,226,24,8,8,16,103,20,23,0,43,60,68,19,19,0,38,30,0,0,0,0,0,0,68,19,19,0,38,30,8,3,3,6,2,1,0,0,0,1,7,3,3,6,1,13,6,4,10,3,2017
CA-517,Napa City & County CoC,Other Urban CoCs,322,122,46,0,168,154,276,114,11,0,125,151,46,8,35,43,3,14,2,11,13,1,158,66,0,66,92,158,66,0,66,92,0,0,0,0,23,13,0,0,13,10,14,5,4,0,9,5,0,0,0,0,0,0,14,5,4,0,9,5,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,2018
CA-517,Napa City & County CoC,,315,148,51,0,199,116,233,114,3,0,117,116,82,34,48,82,0,24,9,15,24,0,134,81,0,81,53,128,75,0,75,53,6,6,6,0,17,8,0,0,8,9,23,5,2,0,7,16,0,0,0,0,0,0,23,5,2,0,7,16,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,2017
CA-518,Vallejo/Solano County CoC,Other Urban CoCs,1129,144,68,0,212,917,1052,122,44,0,166,886,77,22,24,46,31,28,7,12,19,9,461,87,0,87,374,441,70,0,70,371,20,17,17,3,124,7,12,0,19,105,218,15,24,0,39,179,18,0,0,0,0,18,200,15,24,0,39,161,10,0,8,8,2,0,0,0,0,0,10,0,8,8,2,11,0,8,8,3,2018
CA-518,Vallejo/Solano County CoC,,1232,132,183,0,315,917,1070,79,105,0,184,886,162,53,78,131,31,58,17,32,49,9,434,60,0,60,374,425,54,0,54,371,9,6,6,3,156,9,42,0,51,105,210,8,23,0,31,179,18,0,0,0,0,18,192,8,23,0,31,161,14,0,12,12,2,0,0,0,0,0,14,0,12,12,2,17,0,14,14,3,2017
CA-519,"Chico, Paradise/Butte County CoC",Rural CoCs,1125,274,106,0,380,745,946,206,52,0,258,688,179,68,54,122,57,61,26,17,43,18,506,86,0,86,420,467,64,0,64,403,39,22,22,17,109,15,14,0,29,80,68,11,15,0,26,42,12,1,3,0,4,8,56,10,12,0,22,34,3,0,2,2,1,0,0,0,0,0,3,0,2,2,1,4,0,3,3,1,2018
CA-519,"Chico, Paradise/Butte County CoC",,1195,285,165,0,450,745,997,224,85,0,309,688,198,61,80,141,57,66,22,26,48,18,531,111,0,111,420,495,92,0,92,403,36,19,19,17,110,22,8,0,30,80,68,12,14,0,26,42,8,0,0,0,0,8,60,12,14,0,26,34,8,2,5,7,1,0,0,0,0,0,8,2,5,7,1,12,1,10,11,1,2017
CA-520,Merced City & County CoC,Suburban CoCs,514,104,98,0,202,312,456,57,98,0,155,301,58,47,0,47,11,17,13,0,13,4,148,18,0,18,130,148,18,0,18,130,0,0,0,0,13,2,1,0,3,10,34,13,0,0,13,21,0,0,0,0,0,0,34,13,0,0,13,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
CA-520,Merced City & County CoC,,454,83,73,0,156,298,447,79,73,0,152,295,7,4,0,4,3,2,1,0,1,1,120,1,0,1,119,120,1,0,1,119,0,0,0,0,17,0,0,0,0,17,23,0,0,0,0,23,0,0,0,0,0,0,23,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
CA-521,"Davis, Woodland/Yolo County CoC",Suburban CoCs,448,179,60,0,239,209,316,80,32,0,112,204,132,99,28,127,5,48,38,9,47,1,157,10,0,10,147,152,10,0,10,142,5,0,0,5,22,3,1,0,4,18,25,3,13,0,16,9,0,0,0,0,0,0,25,3,13,0,16,9,9,7,2,9,0,0,0,0,0,0,9,7,2,9,0,14,12,2,14,0,2018
CA-521,"Davis, Woodland/Yolo County CoC",,459,204,46,0,250,209,318,82,32,0,114,204,141,122,14,136,5,39,33,5,38,1,174,27,0,27,147,169,27,0,27,142,5,0,0,5,28,7,3,0,10,18,18,2,7,0,9,9,0,0,0,0,0,0,18,2,7,0,9,9,7,4,3,7,0,1,0,1,1,0,6,4,2,6,0,13,10,3,13,0,2017
CA-522,Humboldt County CoC,Rural CoCs,703,188,81,0,269,434,605,149,55,0,204,401,98,39,26,65,33,32,13,8,21,11,363,95,0,95,268,349,89,0,89,260,14,6,6,8,106,34,32,0,66,40,70,6,20,0,26,44,13,5,8,0,13,0,57,1,12,0,13,44,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2,2018
CA-522,Humboldt County CoC,,759,244,81,0,325,434,667,213,53,0,266,401,92,31,28,59,33,30,10,9,19,11,310,42,0,42,268,302,42,0,42,260,8,0,0,8,91,28,23,0,51,40,82,11,27,0,38,44,23,6,17,0,23,0,59,5,10,0,15,44,3,0,1,1,2,0,0,0,0,0,3,0,1,1,2,3,0,1,1,2,2017
CA-523,"Colusa, Glenn, Trinity Counties CoC",Rural CoCs,268,66,29,0,95,173,162,1,9,0,10,152,106,65,20,85,21,33,18,6,24,9,94,1,0,1,93,85,1,0,1,84,9,0,0,9,18,1,1,0,2,16,6,0,0,0,0,6,3,0,0,0,0,3,3,0,0,0,0,3,4,1,2,3,1,0,0,0,0,0,4,1,2,3,1,6,1,2,3,3,2018
CA-523,"Colusa, Glenn, Trinity Counties CoC",,176,13,30,0,43,133,118,5,11,0,16,102,58,8,19,27,31,15,2,5,7,8,34,0,0,0,34,34,0,0,0,34,0,0,0,0,12,0,0,0,0,12,7,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,7,4,0,2,2,2,0,0,0,0,0,4,0,2,2,2,3,0,2,2,1,2017
CA-524,Yuba City & County/Sutter County CoC,Suburban CoCs,765,292,0,0,292,473,457,72,0,0,72,385,308,220,0,220,88,96,67,0,67,29,172,96,0,96,76,110,37,0,37,73,62,59,59,3,28,1,0,0,1,27,22,2,0,0,2,20,1,0,0,0,0,1,21,2,0,0,2,19,24,18,0,18,6,0,0,0,0,0,24,18,0,18,6,28,21,0,21,7,2018
CA-524,Yuba City & County/Sutter County CoC,,760,287,0,0,287,473,557,172,0,0,172,385,203,115,0,115,88,64,35,0,35,29,150,74,0,74,76,134,61,0,61,73,16,13,13,3,47,20,0,0,20,27,32,12,0,0,12,20,1,0,0,0,0,1,31,12,0,0,12,19,9,3,0,3,6,0,0,0,0,0,9,3,0,3,6,10,3,0,3,7,2017
CA-525,El Dorado County CoC,Suburban CoCs,645,111,38,0,149,496,477,96,23,0,119,358,168,15,15,30,138,65,7,5,12,53,211,0,0,0,211,145,0,0,0,145,66,0,0,66,82,0,0,0,0,82,41,18,1,0,19,22,12,12,0,0,12,0,29,6,1,0,7,22,2,1,1,2,0,0,0,0,0,0,2,1,1,2,0,2,1,1,2,0,2018
CA-525,El Dorado County CoC,,602,59,47,0,106,496,446,45,43,0,88,358,156,14,4,18,138,60,5,2,7,53,241,30,0,30,211,169,24,0,24,145,72,6,6,66,97,3,12,0,15,82,30,4,4,0,8,22,3,3,0,0,3,0,27,1,4,0,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Rural CoCs,398,103,31,0,134,264,265,28,17,0,45,220,133,75,14,89,44,45,24,5,29,16,72,5,0,5,67,68,1,0,1,67,4,4,4,0,19,2,7,0,9,10,22,1,2,0,3,19,0,0,0,0,0,0,22,1,2,0,3,19,16,3,0,3,13,0,0,0,0,0,16,3,0,3,13,11,3,0,3,8,2018
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",,367,84,19,0,103,264,259,26,13,0,39,220,108,58,6,64,44,37,19,2,21,16,71,4,0,4,67,71,4,0,4,67,0,0,0,0,20,2,8,0,10,10,25,4,2,0,6,19,0,0,0,0,0,0,25,4,2,0,6,19,13,0,0,0,13,0,0,0,0,0,13,0,0,0,13,8,0,0,0,8,2017
CA-527,Tehama County CoC,Rural CoCs,125,55,14,0,69,56,107,42,9,0,51,56,18,13,5,18,0,6,4,2,6,0,55,18,0,18,37,55,18,0,18,37,0,0,0,0,9,8,0,0,8,1,4,3,0,0,3,1,0,0,0,0,0,0,4,3,0,0,3,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2,2,0,2,0,2018
CA-527,Tehama County CoC,,124,52,16,0,68,56,103,43,4,0,47,56,21,9,12,21,0,9,4,5,9,0,61,24,0,24,37,61,24,0,24,37,0,0,0,0,9,7,1,0,8,1,2,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,2017
